iter	Passed	Remaining
854	15879	2692
855	15900	2674
856	15922	2656
857	15942	2638
858	15961	2619
859	15980	2601
860	16000	2583
861	16020	2564
862	16046	2547
863	16068	2529
864	16095	2511
865	16114	2493
866	16135	2475
867	16151	2456
868	16170	2437
869	16192	2419
870	16212	2401
871	16232	2382
872	16250	2364
873	16269	2345
874	16288	2326
875	16306	2308
876	16323	2289
877	16341	2270
878	16359	2251
879	16375	2233
880	16398	2215
881	16424	2197
882	16445	2179
883	16470	2161
884	16490	2142
885	16511	2124
886	16534	2106
887	16554	2088
888	16573	2069
889	16593	2050
890	16616	2032
891	16638	2014
892	16659	1996
893	16679	1977
894	16696	1958
895	16714	1940
896	16729	1921
897	16749	1902
898	16768	1883
899	16787	1865
900	16808	1846
901	16825	1828
902	16843	1809
903	16864	1790
904	16889	1772
905	16924	1755
906	16952	1738
907	16975	1720
908	16992	1701
909	17013	1682
910	17035	1664
911	17056	1645
912	17074	1627
913	17091	1608
914	17109	1589
915	17125	1570
916	17141	1551
917	17156	1532
918	17174	1513
919	17188	1494
920	17206	1475
921	17223	1457
922	17241	1438
923	17256	1419
924	17271	1400
925	17289	1381
926	17304	1362
927	17320	1343
928	17335	1324
929	17351	1306
930	17365	1287
931	17379	1268
932	17394	1249
933	17412	1230
934	17427	1211
935	17445	1192
936	17462	1174
937	17478	1155
938	17495	1136
939	17512	1117
940	17532	1099
941	17554	1080
942	17574	1062
943	17593	1043
944	17617	1025
945	17636	1006
946	17653	987
947	17669	969
948	17688	950
949	17708	932
950	17727	913
951	17745	894
952	17762	876
953	17779	857
954	17799	838
955	17816	820
956	17834	801
957	17856	782
958	17874	764
959	17893	745
960	17911	726
961	17929	708
962	17946	689
963	17966	670
964	17984	652
965	18001	633
966	18018	614
967	18035	596
968	18053	577
969	18069	558
970	18091	540
971	18111	521
972	18146	503
973	18168	484
974	18186	466
975	18208	447
976	18226	429
977	18244	410
978	18267	391
979	18284	373
980	18302	354
981	18319	335
982	18350	317
983	18371	298
984	18387	280
985	18405	261
986	18431	242
987	18451	224
988	18473	205
989	18492	186
990	18509	168
991	18529	149
992	18549	130
993	18569	112
994	18588	93
995	18609	74
996	18627	56
997	18648	37
998	18669	18
999	18687	0
